(1,0) 
(0.9998476951563913,0.008726203218641756) 
(0.9993908270190958,0.017449748351250485) 
(0.9986295347545738,0.026167978121471914) 
(0.9975640502598242,0.03487823687206265) 
(0.9961946980917455,0.04357787137382908) 
(0.9945218953682733,0.05226423163382673) 
(0.992546151641322,0.06093467170257374) 
(0.9902680687415704,0.06958655048003272) 
(0.9876883405951378,0.07821723252011543) 
(0.984807753012208,0.08682408883346517) 
(0.981627183447664,0.0954044976882724) 
(0.9781476007338057,0.10395584540887966) 
(0.9743700647852352,0.1124755271719325) 
(0.9702957262759965,0.12096094779983387) 
(0.9659258262890683,0.12940952255126037) 
(0.9612616959383189,0.13781867790849958) 
(0.9563047559630354,0.14618585236136838) 
(0.9510565162951535,0.1545084971874737) 
(0.9455185755993168,0.16278407722857832) 
(0.9396926207859084,0.17101007166283436) 
(0.9335804264972017,0.17918397477265013) 
(0.9271838545667874,0.187303296707956) 
(0.9205048534524404,0.19536556424463686) 
(0.9135454576426009,0.20336832153790008) 
(0.9063077870366499,0.21130913087034972) 
(0.898794046299167,0.2191855733945387) 
(0.8910065241883679,0.22699524986977337) 
(0.882947592858927,0.2347357813929454) 
(0.8746197071393957,0.24240481012316853) 
(0.8660254037844387,0.24999999999999997) 
(0.8571673007021123,0.2575190374550271) 
(0.848048096156426,0.26495963211660245) 
(0.838670567945424,0.27231951750751354) 
(0.8290375725550416,0.27959645173537345) 
(0.8191520442889918,0.286788218175523) 
(0.8090169943749475,0.29389262614623657) 
(0.7986355100472928,0.30090751157602413) 
(0.788010753606722,0.3078307376628291) 
(0.7771459614569709,0.3146601955249187) 
(0.766044443118978,0.3213938048432696) 
(0.7547095802227721,0.3280295144952536) 
(0.7431448254773942,0.3345653031794291) 
(0.7313537016191706,0.34099918003124924) 
(0.7193398003386512,0.3473291852294986) 
(0.7071067811865476,0.35355339059327373) 
(0.6946583704589974,0.35966990016932554) 
(0.6819983600624985,0.36567685080958523) 
(0.6691306063588582,0.37157241273869707) 
(0.6560590289905073,0.377354790111386) 
(0.6427876096865394,0.383022221559489) 
(0.6293203910498375,0.3885729807284854) 
(0.6156614753256583,0.394005376803361) 
(0.6018150231520484,0.3993177550236464) 
(0.5877852522924731,0.4045084971874737) 
(0.5735764363510462,0.4095760221444959) 
(0.5591929034707468,0.41451878627752087) 
(0.5446390350150272,0.41933528397271197) 
(0.5299192642332049,0.424024048078213) 
(0.5150380749100544,0.4285836503510561) 
(0.5000000000000001,0.4330127018922193) 
(0.4848096202463371,0.43730985356969787) 
(0.46947156278589086,0.44147379642946344) 
(0.4539904997395468,0.4455032620941839) 
(0.43837114678907746,0.4493970231495835) 
(0.42261826174069944,0.45315389351832497) 
(0.4067366430758002,0.45677272882130043) 
(0.39073112848927394,0.46025242672622013) 
(0.37460659341591196,0.4635919272833937) 
(0.3583679495453004,0.46679021324860087) 
(0.3420201433256688,0.46984631039295416) 
(0.32556815445715676,0.47275928779965837) 
(0.30901699437494745,0.47552825814757677) 
(0.29237170472273677,0.4781523779815177) 
(0.27563735581699916,0.48063084796915945) 
(0.25881904510252074,0.48296291314453416) 
(0.2419218955996679,0.48514786313799824) 
(0.22495105434386492,0.4871850323926176) 
(0.20791169081775945,0.4890738003669028) 
(0.19080899537654492,0.490813591723832) 
(0.17364817766693041,0.492403876506104) 
(0.15643446504023092,0.4938441702975689) 
(0.1391731009600657,0.4951340343707851) 
(0.12186934340514749,0.496273075820661) 
(0.10452846326765346,0.49726094768413664) 
(0.08715574274765814,0.4980973490458728) 
(0.06975647374412546,0.4987820251299121) 
(0.052335956242943966,0.4993147673772869) 
(0.03489949670250108,0.4996954135095479) 
(0.017452406437283376,0.49992384757819563) 
(6.123233995736766e-17,0.5) 
(-0.017452406437283477,0.49992384757819563) 
(-0.03489949670250073,0.4996954135095479) 
(-0.05233595624294362,0.4993147673772869) 
(-0.06975647374412533,0.4987820251299121) 
(-0.08715574274765824,0.4980973490458728) 
(-0.10452846326765333,0.4972609476841367) 
